UTLA19NM,Residents,Households,Dwellings,Household_Spaces,Aged_16plus,Aged_16_to_74,Employed_16_to_74,Household_Residents_16plus,Residents_3plus,Males,Females,Household_Resident,Communal_Resident,Age_0_to_19,Age_20_to_29,Age_30_to_44,Age_45_to_64,Age_65_to_84,Age_85plus,Mean_age,Median_age,White_British_and_Irish,White_other,Mixed,Indian,Pakistani,Bangladeshi,Chinese,Other_Asian,Black,Other_ethnicity,Christian,Other_religion,No_religion,Religion_not_stated,CoB_United_Kingdom,CoB_Ireland,CoB_EU_Member_pre_2001,CoB_EU_member_pre_2011,CoB_Other,Little_or_no_English,Single,Married_couple,Cohabiting_couple,Same_sex_couple,Legal_couple_living_apart,Separated,Divorced,Widowed,Lone_person,Couple_no_kids,Couple_dependent_kids,Lone_parent_dependent_children,All_fulltime_students,Other_household_type,Households_with_0_residents,Detached,Semidetached,Terraced,Flats,Caravan_or_other,Owned,Social_rented,Private_rented,Living_rent_free,Crowded_housing,Long_term_ill,Standardised_illness_ratio,Very_good_health,Good_health,Fair_health,Bad_health,Very_bad_health,Provides_unpaid_care,No_qualifications,GCSE,A_level,Degree_plus,Cars_0,Cars_1,Cars_2plus,Work_from_home,Public_Transport,Private_Transport,Other_Transport,Employee_Parttime,Employee_Fulltime,Self_employed,Unemployed,Fulltime_student,Retired,Student_Econ_Inactive,Looking_after_home_or_family,Longterm_sick_or_disabled,Economically_inactive_Other,Never_worked,Longterm_unemployed,Higher_manager_prof,Lower_manager_prof,Intermediate_occupations,Small_employer_self_employed,Lower_supervisory_technical,Semi_routine_occupations,Routine_occupations,Long_unemp_never_worked,Agriculture_forestry_and_fishing,Mining_and_quarrying,Manufacturing,Electricity_gas_air_conditioning,Water_and_waste,Construction,Motor_vehicles,Transport_and_storage,Accommodation_and_food_service,Information_and_communication,Financial_and_insurance,Real_estate,Scientific_and_technical,Administrative_and_support,Public_administration_and_defence,Education,Human_health_and_social_work,Other_industry,Upper Tier Local Authority District code (2019),IMD - Average rank,IMD - Rank of average rank,IMD - Average score,IMD - Rank of average score,IMD - Proportion of LSOAs in most deprived 10% nationally,IMD - Rank of proportion of LSOAs in most deprived 10% nationally,IMD 2019 - Extent,IMD 2019 - Rank of extent,IMD 2019 - Local concentration,IMD 2019 - Rank of local concentration
Trafford,226578,94484,97129,97330,180754,162806,110912,179464,217713,110959,115619,225277,1301,42472,25540,49221,59040,31224,5049,28972.77160046,29464,187298,6536,6031,6306,7027,457,2232,1951,6540,2200,143639,20664,47968,14307,201177,3620,2399,3017,16365,2219,44846,84896,19128,1590,2331,3508,11493,11672,28179,23038,27448,6791,38,15781,2846,14622,42812,20948,18919,29,66010,15485,12001,988,1108,38603,69575.35711387,115496,71694,27549,9273,2566,23527,33573,57245,21078,61051,20485,40855,33144,6120,15477,76301,13014,22799,68201,15854,6136,5074,21729,7200,6426,6499,2888,803,2377,24893,42040,28134,15149,11143,22756,15856,8824,136,101,8163,657,677,7212,17093,5340,5098,5315,5791,1837,10177,6187,5333,11557,15137,5101,E08000009,12412.15,122,16.088,118,0.0507,84,0.1127,103,29401.56,85
Wakefield,325837,140414,146362,146538,265797,240997,151828,262266,314012,159913,165924,322264,3573,58338,40339,65311,89064,48480,6662,44102.20866847,45073.5,303239,7718,2928,1540,4896,32,853,1177,2512,942,216215,9368,79497,20757,308270,732,1832,5999,9004,3266,56677,124366,34540,1999,2431,5421,18969,17863,41640,39706,37775,10605,12,21281,6124,30316,64079,34315,17538,290,89941,33129,16017,1327,1672,71901,134686.25645603,139288,110920,50595,19507,5527,36621,82621,93204,28205,48772,37719,60622,42073,4939,16238,112770,17881,35763,95559,16704,11702,5040,38721,8474,9554,14092,5388,1900,4496,17562,46250,32967,20134,23676,44959,51272,15692,540,690,17348,1462,1301,13083,30557,9138,7234,3147,5190,2072,5939,7297,9214,12584,19139,5893,E08000036,20272.84,49,27.306,42,0.1579,43,0.3248,40,31595.46,44
Walsall,269323,107822,110943,111038,213123,191974,112270,211229,258245,132319,137004,267397,1926,53306,35194,52593,65444,40418,5397,32678.15351946,32758.5,208419,4050,7224,16502,14289,5194,993,4044,6369,2239,158971,40302,53876,16174,242688,931,1226,2681,21797,6229,51859,98252,23771,1435,3427,4489,12727,15269,30771,26044,30441,8388,59,20507,3216,20187,46779,24739,19115,218,67866,25967,12569,1420,2497,55902,94832.11466558,113525,94650,41653,14968,4527,30632,71839,70098,23022,35989,31044,45181,31597,3393,14049,82529,12299,26934,67743,13991,13006,5131,28865,9544,11220,9974,5566,2690,5844,12807,32981,25478,16698,17156,39055,34086,20518,126,61,16284,554,1275,9783,21624,6714,5228,1941,3457,1633,3997,5060,5292,10827,13980,4434,E08000030,22152.64,26,31.555,21,0.2635,18,0.4844,14,31611.53,43
Waltham Forest,258249,96861,98279,98749,203131,190978,121021,201503,245420,128970,129279,256615,1634,50840,47112,65523,52745,22042,3524,25463.90625959,24667.5,96958,37841,13766,9134,26347,4632,2579,11697,44791,10504,124939,67906,46462,18942,158437,3039,6997,23238,66538,14250,70771,73153,19670,3159,7011,5984,12534,9221,28756,14542,27668,8918,617,25278,1888,4586,16668,36698,40755,42,49379,21376,25102,1004,8015,37628,61241.31634905,121652,91954,31133,10053,3457,21273,42262,54273,20340,60914,40583,40732,15546,4085,66805,37809,12322,21889,69385,23690,11654,8397,15335,15209,11429,7166,6824,2687,4458,15725,39389,24721,23591,12308,23969,19621,21200,70,51,4216,244,622,11547,16551,6647,9290,5861,5728,2290,8280,8185,6632,13508,13666,7633,E09000031,21186.64,36,25.209,63,0.0208,105,0.1783,77,28906.69,99
Wandsworth,306995,130493,134619,135897,255989,243533,178582,250679,292980,148646,158349,301648,5347,46594,70916,93803,54197,23218,3693,34059.05967863,32024.5,171403,47813,15241,8642,9718,1493,3715,9770,32756,6444,162590,37548,82740,24117,198422,5781,17623,11822,73347,6893,102672,77198,34780,3866,5164,5138,13204,8657,42106,26954,27805,7909,965,32663,5404,3338,9995,32907,89557,100,61304,26516,41317,1356,4978,34386,64445.73431707,176198,91935,27299,8749,2814,19985,29622,40866,25485,137142,59143,56409,14941,9634,110157,30807,27984,18968,123965,29535,9311,8010,15140,14599,10424,7027,6554,1534,3589,51515,76050,26718,20650,10087,19699,14881,14637,77,497,4131,533,319,7443,18182,5402,9854,16301,19244,4428,30051,10225,7782,14792,17344,11977,E09000032,14312.18,108,16.611,113,0,130,0.0495,125,25999.84,128
Warrington,202228,85140,87943,87962,163477,149461,100856,160091,194801,100300,101928,198828,3400,37112,24591,42327,54429,28492,3722,26365.50050942,27034,189325,4667,2144,1803,1179,152,849,928,694,487,144405,4693,41293,11837,190719,1090,1353,3016,6050,1208,35935,79238,18888,1042,1306,2996,10694,9992,24534,23174,24788,6220,57,12587,2822,20826,36023,21162,9870,81,61552,13318,9549,721,727,34997,64753.22984022,100734,66223,24446,8466,2359,21843,33815,57545,20593,44870,16409,35587,33144,4648,7734,77712,10762,21782,63875,11617,5961,4530,22189,5441,4917,6063,3086,663,2263,18542,35278,23946,11982,12510,23884,20393,7110,248,85,8815,918,1856,7262,17648,6163,4744,5124,3332,1215,6825,5235,5691,8663,12627,4405,E06000007,14277.87,109,18.942,95,0.0787,69,0.1837,76,30359.39,70
Warwickshire,545474,231005,239600,239966,447075,401630,272321,439453,526687,269076,276398,537501,7973,95116,65011,108918,147978,86114,13157,75302.15376436,77364,487823,17865,7949,16435,1728,284,2349,4300,4443,2298,351891,25199,131408,36976,500118,4069,6685,8880,25722,4275,97670,219683,50259,2965,4426,8220,27701,28529,67054,67388,60312,14037,1039,35212,8961,67542,80643,54911,35223,1647,163724,31924,32608,2749,2023,93173,171759.52591865,258530,189851,70472,20701,5920,59240,96451,144543,55398,128864,40619,94540,95846,17191,15473,203842,35815,56523,166704,39901,13910,11305,61205,19880,13783,12413,6006,1695,5316,52417,95669,58283,41762,33711,63176,54213,17231,2662,437,31646,2475,2049,18182,46514,16148,14249,10576,8245,3361,18595,12807,13164,27788,30233,13190,E10000031,12848.1,119,15.64,121,0.0177,108,0.0664,119,27459.27,114
West Berkshire,153822,62340,64603,64657,122731,112054,81679,120655,147774,76321,77501,150878,2944,29612,15847,33010,42710,20539,3087,19269.54499349,19872,140328,5526,2420,1675,473,225,659,776,1376,364,97896,3874,41042,11010,139909,1007,2349,2091,8466,698,23895,64924,13992,699,1132,2161,7180,6672,16123,18689,18063,3340,15,9450,2317,21875,21198,11542,9323,719,44130,8628,8555,1027,591,20278,35436.89654319,79432,53069,16456,3818,1047,14288,21065,42036,14916,39406,7759,24042,30539,6223,7276,57929,10251,15567,51084,12691,3279,2780,14094,3799,4769,2420,1571,311,1210,18568,29779,17752,12271,8076,15423,10771,3647,762,136,6414,557,754,6317,12911,3012,3607,8668,2878,1286,6774,4107,4641,7889,6794,4172,E06000037,7974.34,146,9.952,147,0,130,0.0077,144,19124.68,148
West Sussex,806892,345614,358659,359506,661937,577224,394689,648276,779009,390567,416325,791540,15352,138186,85108,156491,217353,140004,26571,113441.20718972,117218,723530,32969,12155,9659,5236,2346,2960,8133,7146,2758,498367,29785,216844,61896,725574,5033,13398,13948,48939,6384,136094,325067,70220,5188,7479,12597,44859,46772,106784,100221,86056,18695,460,52093,13892,107608,93923,76739,78807,2429,246955,44144,49831,4684,4436,138880,248474.49966227,378965,286383,104836,28645,8063,84395,132318,230346,81126,183933,61657,150046,133911,26399,45874,264958,57458,85566,228254,67299,18331,16669,91376,20056,23515,16915,9243,1891,7041,75226,154988,101675,72592,46556,92697,57957,24378,3925,424,29189,2709,3015,30613,61854,25709,21575,15642,20711,6010,25142,22156,19996,34825,50582,20612,E10000032,12043.61,125,14.429,129,0.0099,115,0.0425,130,25770.38,130
Westminster,219396,105772,118318,120066,186812,175505,111179,180764,211367,111548,107848,213208,6188,31279,44988,64114,44775,21414,3100,29102.51930096,27359.5,82294,53036,11395,7213,2328,6299,5917,10105,16472,24337,97877,56458,44542,20519,102407,3752,25212,6031,81994,9011,74805,53078,16616,4096,7319,5333,12430,7087,47893,19013,17599,6002,1297,19970,14294,1371,2183,9317,107157,38,33172,27348,41949,3303,5675,30879,63086.65366611,118808,65807,22027,9263,3491,15878,23943,28225,17113,93946,66531,31869,7372,9620,60151,12698,28710,12606,72899,22026,7941,4946,12010,17835,9521,8492,7229,1621,3118,38125,48472,15182,14685,6650,13556,10065,18167,77,466,2440,343,206,3210,10977,2875,7269,8995,18921,3322,18640,4801,4498,7007,8053,9079,E09000033,16573.82,87,20.339,88,0.0234,103,0.1587,85,29203.12,92
Wigan,317849,136386,141519,141592,257825,236495,149908,255780,305976,157996,159853,315794,2055,57521,39484,66112,85039,46249,5400,41643.62914473,42537.5,304978,4215,2756,1019,676,109,891,824,1678,703,247223,4369,48640,17617,306656,1131,1316,2664,6082,1348,60198,119198,32903,1805,2011,5207,17863,16595,40053,35534,38580,10983,22,22197,5206,24523,63829,39291,13865,84,92890,25803,15875,1818,1301,68321,125740.31367082,144283,103934,46797,18112,4723,36504,70486,95712,31368,50374,33606,59544,43236,4663,12898,115268,17079,32880,94703,17445,11483,6270,38211,8293,8302,14652,4256,1696,4652,17251,46843,34407,21128,22594,44560,43192,13612,274,129,17662,841,1561,15106,26920,8344,6855,3566,4210,1850,6351,8018,9278,12716,19334,6893,E08000010,18600.47,69,25.713,58,0.165,41,0.3135,42,31742.75,37
Wiltshire,470981,194194,201991,202145,380013,339595,239216,368240,453983,231754,239227,457954,13027,86846,50191,91597,129660,73526,11962,64015.40391699,66807.5,442106,12865,5568,1547,215,595,1210,2611,3228,1036,301651,8107,125045,36178,433908,2118,9473,5827,19655,2022,69952,198170,40314,2370,3606,6708,24130,22990,51845,60877,54466,12022,36,26970,7951,70890,62583,44213,22947,1512,132546,28591,29968,3089,1810,75244,135830.13303035,234318,160362,57221,14974,4106,47608,70782,133269,48130,112067,28660,80315,85219,17608,13625,168475,39508,50806,143218,38102,9999,8667,49893,11119,13554,9102,5135,1037,3666,46148,89345,53063,39954,27942,52637,39152,12403,4105,245,21693,951,1685,17274,35563,8512,12266,10236,7601,3401,16091,10678,29723,22352,25598,11242,E06000054,11265.53,133,13.447,133,0.0035,127,0.0288,137,24617.67,136
Windsor and Maidenhead,144560,58349,60901,60943,115900,104247,73951,113209,138877,71328,73232,141065,3495,26571,15952,31949,37427,20588,3489,18098.87892876,18452.5,114136,10369,3315,5860,4238,393,1071,2286,1725,1167,90051,13053,31353,10103,119434,1648,4330,2690,16458,1412,25056,58374,11617,997,1830,2013,6662,6660,16554,15916,16254,2898,16,9609,2594,18992,15426,11432,14428,665,40034,7748,9432,1135,880,18364,31713.91271191,78802,46571,14234,3872,1081,13235,18134,33609,12933,44500,7782,23443,27124,6469,8366,49595,9521,12727,46337,12903,3292,2391,13366,4598,5016,1834,1783,361,1243,20217,31182,15873,11410,6780,11499,7751,4365,229,209,5524,499,446,4166,10216,4491,3796,7874,2482,1300,7667,4070,3606,7281,5688,4407,E06000040,6289.3,150,8.376,150,0,130,5e-4,148,19673.48,147
Wirral,319783,140583,145693,145944,260498,230851,139929,257140,308781,153847,165936,316384,3399,57382,36008,58992,88758,52632,8334,44748.61670172,46032,306349,3807,3286,1344,226,851,1653,1042,695,530,225147,4787,68209,21640,306853,1929,2082,1602,7317,1153,68324,113071,25490,1845,2250,5543,20865,19752,47329,32925,36642,12735,22,23665,5361,24382,59823,36170,25548,21,95556,21329,22275,1423,897,72204,134069.0455958,148028,102085,45687,18448,5535,40340,61014,91604,32688,65809,39391,60656,40536,5605,20886,97895,15543,34513,83696,17334,11939,5758,38761,10491,9046,14724,4589,1994,4865,23011,54589,37640,19370,20781,41261,31214,16787,204,187,14043,642,1151,9701,20296,6228,6780,3411,4948,2312,8798,6289,10779,14484,22874,6802,E08000015,19585.79,56,29.589,33,0.2524,20,0.3526,35,32613.71,7
Wokingham,154380,60332,62474,62490,123010,112273,81377,120636,148442,76464,77916,151740,2640,29258,15499,33741,42542,20843,2946,19087.98795719,19726,130486,6039,3182,5331,2865,222,1203,1817,2093,1142,91905,11112,40143,11220,135322,1074,2804,1555,13625,857,23843,69054,11807,642,1255,1715,6167,6153,14084,18121,18748,2679,30,9349,2158,27840,18065,9107,6833,645,48782,4236,6755,559,540,18380,31770.40522996,83759,51808,14566,3310,937,13902,16226,37175,15313,49184,5422,22202,32708,6515,8806,58402,7654,15282,51260,12081,2958,3331,14976,4441,4799,1742,1403,335,1035,23618,33611,18598,10865,6201,11995,6980,3536,264,249,5348,638,559,5387,11852,3044,2615,10267,3491,1050,8061,3766,4197,9351,7170,4068,E06000041,3651.54,151,5.846,151,0,130,0,149,15956.85,149
Wolverhampton,249470,102177,105825,106109,200047,179983,104284,196212,239252,123441,126029,245526,3944,48510,35935,51399,58555,35033,5596,30679.06377917,30420.5,162471,7211,12784,32162,4415,432,1376,6575,17309,4735,138394,45203,49821,16052,208582,1289,1836,5262,32501,8045,57463,82343,19499,1424,3952,4337,13035,14159,32876,20860,27946,9634,286,20209,3932,16659,47409,18822,23127,92,58231,28648,13455,1843,2159,51258,89886.81050756,104263,88168,39096,13796,4147,27136,62467,63474,21199,39021,34370,42007,25800,2843,17219,71006,13216,24364,63981,11384,14127,6546,23763,11036,9479,9765,5538,2823,6236,11599,30897,22764,13582,14937,36917,32140,20179,193,39,14013,609,1020,7586,18153,6322,5367,2239,3483,1509,3673,4932,5674,10168,14942,4362,E08000031,23274.95,16,32.102,20,0.2089,31,0.4828,15,31347.16,52
Worcestershire,566169,239717,248644,248983,465502,415036,278242,456385,547684,278791,287378,556357,9812,98093,61801,108662,158513,94202,14885,78926.92530529,81565,526402,15656,7045,3634,4984,1316,1601,2206,2372,953,382240,13708,131861,38360,533568,2796,5008,8623,16174,3508,95535,232449,53198,3081,3970,8192,29893,30067,67789,73169,62001,14563,367,36391,9266,83156,82072,46203,34471,3081,171353,35526,29873,2965,2171,101492,184458.30862956,263127,197450,76406,22612,6574,63685,107199,153653,56378,126668,39855,96498,103364,17899,16217,209374,34752,61898,162811,44022,15424,11928,66567,17126,14474,13527,7259,1826,6030,49879,101364,61032,48663,34282,68949,53903,19089,3412,170,37188,1670,2202,20992,47358,11172,13480,8967,7242,4406,17049,12938,15375,27458,34482,12681,E10000034,14401.88,105,18.089,105,0.0495,86,0.1265,98,29616.64,81
York,198051,83552,86483,86735,166275,149789,98721,158773,191644,96254,101797,190392,7659,34486,33905,38818,48079,28558,4857,25720.64968037,25588.5,179716,7015,2413,1531,417,370,2449,1973,1194,973,117856,5153,59646,15396,179823,807,3480,2982,10959,1113,42917,70571,19699,1522,1888,2486,9879,9811,25224,24335,19856,4897,1833,12304,3183,18983,30800,21224,15569,159,55858,11679,14980,1035,851,30375,55979.90811825,98402,67709,23752,6369,1819,18224,29863,48135,27590,53875,21808,38999,22745,5025,10208,53418,30070,22487,57032,12328,4582,8516,20688,14387,4107,3678,1984,485,1662,18720,34941,20531,12727,11608,23716,16331,5032,498,64,6571,310,467,6750,16026,4619,7805,3170,4730,1075,6164,4136,6089,12027,13113,5107,E06000014,9092.16,143,11.727,140,0.0083,119,0.054,122,26241.63,123
