Area.name,Area.code,Area.type,date,Daily.lab.confirmed.cases,Cumulative.lab.confirmed.cases
Medway,E06000035,Upper tier local authority,2020-04-11,16,398
Merton,E09000024,Upper tier local authority,2020-04-11,18,508
Middlesbrough,E06000002,Upper tier local authority,2020-04-11,15,287
Milton Keynes,E06000042,Upper tier local authority,2020-04-11,14,312
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-04-11,20,590
Newham,E09000025,Upper tier local authority,2020-04-11,28,770
Norfolk,E10000020,Upper tier local authority,2020-04-11,52,694
North East Lincolnshire,E06000012,Upper tier local authority,2020-04-11,5,78
North Lincolnshire,E06000013,Upper tier local authority,2020-04-11,16,121
North Somerset,E06000024,Upper tier local authority,2020-04-11,7,124
North Tyneside,E08000022,Upper tier local authority,2020-04-11,16,314
North Yorkshire,E10000023,Upper tier local authority,2020-04-11,24,481
Northamptonshire,E10000021,Upper tier local authority,2020-04-11,33,742
Northumberland,E06000057,Upper tier local authority,2020-04-11,39,421
Nottingham,E06000018,Upper tier local authority,2020-04-11,12,307
Nottinghamshire,E10000024,Upper tier local authority,2020-04-11,23,686
Oldham,E08000004,Upper tier local authority,2020-04-11,23,354
Oxfordshire,E10000025,Upper tier local authority,2020-04-11,31,945
Peterborough,E06000031,Upper tier local authority,2020-04-11,2,106
Plymouth,E06000026,Upper tier local authority,2020-04-11,1,142
Portsmouth,E06000044,Upper tier local authority,2020-04-11,13,183
Reading,E06000038,Upper tier local authority,2020-04-11,9,201
Redbridge,E09000026,Upper tier local authority,2020-04-11,11,511
Redcar and Cleveland,E06000003,Upper tier local authority,2020-04-11,16,173
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-11,6,286
Rochdale,E08000005,Upper tier local authority,2020-04-11,5,271
Rotherham,E08000018,Upper tier local authority,2020-04-11,10,360
Rutland,E06000017,Upper tier local authority,2020-04-11,0,0
Salford,E08000006,Upper tier local authority,2020-04-11,10,362
Sandwell,E08000028,Upper tier local authority,2020-04-11,12,578
Sefton,E08000014,Upper tier local authority,2020-04-11,27,500
Sheffield,E08000019,Upper tier local authority,2020-04-11,52,1358
Shropshire,E06000051,Upper tier local authority,2020-04-11,8,246
Slough,E06000039,Upper tier local authority,2020-04-11,12,242
Solihull,E08000029,Upper tier local authority,2020-04-11,13,360
Somerset,E10000027,Upper tier local authority,2020-04-11,18,223
South Gloucestershire,E06000025,Upper tier local authority,2020-04-11,6,218
South Tyneside,E08000023,Upper tier local authority,2020-04-11,12,229
Southampton,E06000045,Upper tier local authority,2020-04-11,7,265
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-11,4,221
Southwark,E09000028,Upper tier local authority,2020-04-11,27,975
St. Helens,E08000013,Upper tier local authority,2020-04-11,10,386
Staffordshire,E10000028,Upper tier local authority,2020-04-11,39,955
Stockport,E08000007,Upper tier local authority,2020-04-11,26,495
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-11,4,201
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-11,11,200
Suffolk,E10000029,Upper tier local authority,2020-04-11,23,497
Sunderland,E08000024,Upper tier local authority,2020-04-11,47,676
Surrey,E10000030,Upper tier local authority,2020-04-11,66,1612
Sutton,E09000029,Upper tier local authority,2020-04-11,20,450
Swindon,E06000030,Upper tier local authority,2020-04-11,17,186
Tameside,E08000008,Upper tier local authority,2020-04-11,7,285
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-11,2,133
Thurrock,E06000034,Upper tier local authority,2020-04-11,8,199
Torbay,E06000027,Upper tier local authority,2020-04-11,1,99
Tower Hamlets,E09000030,Upper tier local authority,2020-04-11,13,491
Trafford,E08000009,Upper tier local authority,2020-04-11,14,385
Wakefield,E08000036,Upper tier local authority,2020-04-11,8,317
Walsall,E08000030,Upper tier local authority,2020-04-11,9,574
Waltham Forest,E09000031,Upper tier local authority,2020-04-11,15,543
Wandsworth,E09000032,Upper tier local authority,2020-04-11,14,754
Warrington,E06000007,Upper tier local authority,2020-04-11,17,349
Warwickshire,E10000031,Upper tier local authority,2020-04-11,34,696
West Berkshire,E06000037,Upper tier local authority,2020-04-11,9,166
West Sussex,E10000032,Upper tier local authority,2020-04-11,27,661
Westminster,E09000033,Upper tier local authority,2020-04-11,11,499
Wigan,E08000010,Upper tier local authority,2020-04-11,26,325
Wiltshire,E06000054,Upper tier local authority,2020-04-11,16,252
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-11,9,157
Wirral,E08000015,Upper tier local authority,2020-04-11,35,587
